DATE,MRTSSM441USN
2018-07-01,103782
2018-08-01,108426
2018-09-01,96034
2018-10-01,99122
2018-11-01,95397
2018-12-01,101287
2019-01-01,88120
2019-02-01,89921
2019-03-01,110562
2019-04-01,103551
2019-05-01,111924
2019-06-01,104675
2019-07-01,109116
2019-08-01,114285
2019-09-01,99039
2019-10-01,102968
2019-11-01,100117
2019-12-01,102180
2020-01-01,91661
2020-02-01,95799
2020-03-01,80396
2020-04-01,67658
2020-05-01,104337
2020-06-01,110932
2020-07-01,112732
2020-08-01,112229
2020-09-01,109316
2020-10-01,110950
2020-11-01,99744
2020-12-01,112441
2021-01-01,100653
2021-02-01,99350
2021-03-01,142124
2021-04-01,139363
2021-05-01,137930
2021-06-01,132639
2021-07-01,129460
2021-08-01,123990
2021-09-01,119254
2021-10-01,120525
2021-11-01,116134
2021-12-01,122686
2022-01-01,114061
2022-02-01,117491
2022-03-01,140438
2022-04-01,137461
2022-05-01,132137
2022-06-01,132450
2022-07-01,127577
2022-08-01,135909
2022-09-01,125342
2022-10-01,126737
2022-11-01,117541
2022-12-01,122981
2023-01-01,117983
2023-02-01,119135
2023-03-01,141845
2023-04-01,133565
2023-05-01,143058.0
2023-06-01,140344.0
2023-07-01,135685.0
2023-08-01,142410.0
